"time","psource.tlm.q [m^3/s]","psource.tlm.p [Pa]","prv.tlm.q [m^3/s]","prv.tlm.p [Pa]"
0.2578,0.000136571,2.01938e+07,-0.00014732,2.01372e+07
0.2588,0.000130191,2.01847e+07,-0.000141027,2.01306e+07
0.2598,0.00012376,2.01755e+07,-0.000134682,2.01239e+07
0.2608,0.000117279,2.01662e+07,-0.000128285,2.01172e+07
0.2618,0.000110747,2.01569e+07,-0.000121837,2.01105e+07
0.2628,0.000104166,2.01475e+07,-0.000115339,2.01037e+07
0.2638,9.75364e-05,2.0138e+07,-0.000108791,2.00968e+07
0.2648,9.08585e-05,2.01285e+07,-0.000102193,2.00899e+07
0.2658,8.41328e-05,2.01188e+07,-9.55474e-05,2.0083e+07
0.2668,7.73602e-05,2.01092e+07,-8.88535e-05,2.0076e+07
0.2678,7.05411e-05,2.00994e+07,-8.21121e-05,2.0069e+07
0.2688,6.36762e-05,2.00896e+07,-7.53239e-05,2.00619e+07
0.2698,5.67661e-05,2.00797e+07,-6.84894e-05,2.00547e+07
0.2708,4.98113e-05,2.00698e+07,-6.16092e-05,2.00476e+07
0.2718,4.28126e-05,2.00597e+07,-5.4684e-05,2.00403e+07
0.2728,3.57705e-05,2.00497e+07,-4.77144e-05,2.00331e+07
0.2738,2.86857e-05,2.00395e+07,-4.07011e-05,2.00258e+07
0.2748,2.15588e-05,2.00294e+07,-3.36445e-05,2.00184e+07
0.2758,1.43904e-05,2.00191e+07,-2.65454e-05,2.0011e+07
0.2768,7.18116e-06,2.00088e+07,-1.94043e-05,2.00036e+07
0.2778,-6.82756e-08,1.99984e+07,-1.2222e-05,1.99961e+07
0.2788,-7.35727e-06,1.9988e+07,-4.999e-06,1.99886e+07
0.2798,-1.46852e-05,1.99775e+07,2.24968e-06,1.9981e+07
0.2808,-2.19851e-05,1.99663e+07,7.07455e-06,1.99721e+07
0.2818,-2.90866e-05,1.99526e+07,1.0407e-05,1.99605e+07
0.2828,-3.59496e-05,1.99361e+07,1.34049e-05,1.99461e+07
0.2838,-4.25752e-05,1.9917e+07,1.62621e-05,1.99288e+07
0.2848,-4.8971e-05,1.98952e+07,1.90141e-05,1.99088e+07
0.2858,-5.51453e-05,1.98708e+07,2.16696e-05,1.98862e+07
0.2868,-6.11064e-05,1.98439e+07,2.42331e-05,1.98611e+07
0.2878,-6.68622e-05,1.98147e+07,2.67081e-05,1.98335e+07
0.2888,-7.24203e-05,1.97832e+07,2.90979e-05,1.98035e+07
0.2898,-7.77879e-05,1.97494e+07,3.14058e-05,1.97713e+07
0.2908,-8.2972e-05,1.97135e+07,3.36346e-05,1.97369e+07
0.2918,-8.79794e-05,1.96755e+07,3.57874e-05,1.97003e+07
0.2928,-9.28164e-05,1.96356e+07,3.78668e-05,1.96617e+07
0.2938,-9.74893e-05,1.95936e+07,3.98755e-05,1.96212e+07
0.2948,-0.000102004,1.95498e+07,4.18161e-05,1.95787e+07
0.2958,-0.000106366,1.95042e+07,4.3691e-05,1.95343e+07
0.2968,-0.000110581,1.94569e+07,4.55026e-05,1.94882e+07
0.2978,-0.000114653,1.94079e+07,4.72531e-05,1.94403e+07
0.2988,-0.000118589,1.93572e+07,4.89446e-05,1.93907e+07
0.2998,-0.000122393,1.9305e+07,5.05793e-05,1.93396e+07
0.3008,-0.000126069,1.92512e+07,5.21591e-05,1.92869e+07
0.3018,-0.000129621,1.91959e+07,5.36859e-05,1.92326e+07
0.3028,-0.000133055,1.91393e+07,5.51616e-05,1.9177e+07
0.3038,-0.000136374,1.90812e+07,5.65879e-05,1.91199e+07
0.3048,-0.000139582,1.90219e+07,5.79664e-05,1.90614e+07
0.3058,-0.000142683,1.89612e+07,5.92988e-05,1.90016e+07
