"time","hydraulics.tlm.x [m]","hydraulics.tlm.v [m/s]","hydraulics.tlm.F [N]","mechanics.x","mechanics.tlm.x [m]","mechanics.tlm.v [m/s]","mechanics.tlm.F [N]","controller.u"
0.24,0.00236542,-0.00953081,9945.43,0.00643835,0.00644779,-0.00991414,-10003.3,-3.24494e-05
0.242,0.00234598,-0.00893389,9949.55,0.00642037,0.00642922,-0.00927698,-10000.5,-3.23527e-05
0.244,0.00232777,-0.00852957,9960.64,0.00640356,0.00641186,-0.00871381,-9990.86,-3.22623e-05
0.246,0.0023107,-0.00824587,9975.1,0.00638785,0.00639562,-0.00820901,-9977.85,-3.21779e-05
0.248,0.00229468,-0.00798869,9988.46,0.00637317,0.00638043,-0.00774127,-9965.83,-3.2099e-05
0.25,0.00227966,-0.0076717,9996.82,0.00635945,0.00636622,-0.00728992,-9958.6,-3.20252e-05
0.252,0.00226559,-0.0072421,9998.07,0.00634662,0.00635293,-0.00684059,-9958.23,-3.19562e-05
0.254,0.00225242,-0.00669452,9992.37,0.00633463,0.00634051,-0.0063886,-9964.55,-3.18918e-05
0.256,0.00224013,-0.00606938,9982.04,0.00632343,0.0063289,-0.00593915,-9975.3,-3.18315e-05
0.258,0.00222866,-0.00543718,9970.7,0.00631296,0.00631807,-0.0055045,-9986.97,-3.17752e-05
0.26,0.00221796,-0.00487438,9962.05,0.0063032,0.00630797,-0.00509915,-9995.95,-3.17226e-05
0.262,0.002208,-0.00443882,9958.75,0.00629409,0.00629855,-0.00473478,-9999.68,-3.16736e-05
0.264,0.0021987,-0.00415241,9961.64,0.00628561,0.00628978,-0.00441632,-9997.35,-3.16278e-05
0.266,0.00219001,-0.00399596,9969.59,0.00627772,0.00628162,-0.0041405,-9990.09,-3.15852e-05
0.268,0.00218188,-0.00391716,9979.96,0.00627038,0.00627402,-0.00389706,-9980.49,-3.15455e-05
0.27,0.00217428,-0.0038484,9989.5,0.00626356,0.00626694,-0.00367213,-9971.72,-3.15087e-05
0.272,0.00216718,-0.00372835,9995.41,0.00625723,0.00626035,-0.00345249,-9966.53,-3.14744e-05
0.274,0.00216054,-0.00352044,9996.15,0.00625134,0.00625423,-0.00322944,-9966.39,-3.14426e-05
0.276,0.00215436,-0.00322258,9991.9,0.00624585,0.00624853,-0.00300105,-9971.11,-3.1413e-05
0.278,0.0021486,-0.00286556,9984.34,0.00624075,0.00624323,-0.00277209,-9979.01,-3.13854e-05
0.28,0.00214325,-0.00250147,9976.11,0.00623599,0.0062383,-0.00255193,-9987.53,-3.13598e-05
0.282,0.00213828,-0.00218598,9969.88,0.00623155,0.00623371,-0.00235106,-9994.02,-3.13358e-05
0.284,0.00213366,-0.00196061,9967.56,0.00622742,0.00622944,-0.00217748,-9996.64,-3.13135e-05
0.286,0.00212934,-0.00184036,9969.72,0.00622356,0.00622546,-0.00203403,-9994.83,-3.12928e-05
0.288,0.0021253,-0.00181025,9975.5,0.00621997,0.00622175,-0.00191757,-9989.45,-3.12734e-05
0.29,0.00212151,-0.00183143,9982.98,0.00621663,0.00621829,-0.00181993,-9982.4,-3.12554e-05
0.292,0.00211795,-0.00185433,9989.79,0.00621351,0.00621506,-0.00173056,-9976,-3.12385e-05
0.294,0.00211461,-0.00183447,9993.91,0.00621061,0.00621205,-0.0016397,-9972.23,-3.12229e-05
0.296,0.00211147,-0.00174574,9994.26,0.00620791,0.00620923,-0.00154116,-9972.14,-3.12083e-05
0.298,0.00210854,-0.00158737,9990.99,0.00620538,0.00620661,-0.00143394,-9975.59,-3.11947e-05
0.3,0.00210581,-0.00138256,9985.37,0.00620302,0.00620416,-0.00132204,-9981.33,-3.1182e-05
0.302,0.00210327,-0.00116979,9979.32,0.00620082,0.00620188,-0.00121288,-9987.48,-3.11702e-05
0.304,0.00210089,-0.000989931,9974.79,0.00619875,0.00619975,-0.00111464,-9992.13,-3.11591e-05
0.306,0.00209868,-0.000873237,9973.13,0.00619681,0.00619776,-0.0010336,-9993.94,-3.11487e-05
0.308,0.0020966,-0.000830488,9974.74,0.006195,0.0061959,-0.000972183,-9992.55,-3.1139e-05
0.31,0.00209464,-0.0008506,9978.97,0.00619329,0.00619415,-0.000928294,-9988.57,-3.11299e-05
0.312,0.00209278,-0.000905183,9984.4,0.00619169,0.0061925,-0.000896121,-9983.42,-3.11213e-05
0.314,0.00209101,-0.000958224,9989.3,0.00619019,0.00619094,-0.000868031,-9978.78,-3.11133e-05
