"time","SineAndStep.out2","SineAndStep.out1","Ramp.out","MultiplyAndAdd.out2","MultiplyAndAdd.out1","Gain.out"
0.153,0,0.979239,1.1325,0.661364,0.661364,-0.2089
0.154,0,0.988633,1.135,0.707183,0.707183,-0.10445
0.155,0,0.998027,1.1375,0.753002,0.753002,9.19046e-15
0.156,0,0.994879,1.14,0.790264,0.790264,0.106937
0.157,0,0.991731,1.1425,0.827527,0.827527,0.213873
0.158,0,0.988583,1.145,0.86479,0.86479,0.32081
0.159,0,0.985435,1.1475,0.902052,0.902052,0.427747
0.16,0,0.982287,1.15,0.939315,0.939315,0.534683
0.161,0,0.966795,1.1525,0.96544,0.96544,0.637309
0.162,0,0.951303,1.155,0.991564,0.991564,0.739936
0.163,0,0.935811,1.1575,1.01769,1.01769,0.842562
0.164,0,0.920319,1.16,1.04381,1.04381,0.945188
0.165,0,0.904827,1.1625,1.06994,1.06994,1.04781
0.166,0,0.877964,1.165,1.083,1.083,1.13945
0.167,0,0.851102,1.1675,1.09607,1.09607,1.23109
0.168,0,0.824239,1.17,1.10913,1.10913,1.32273
0.169,0,0.797376,1.1725,1.12219,1.12219,1.41437
0.17,0,0.770513,1.175,1.13526,1.13526,1.506
0.171,0,0.733968,1.1775,1.13413,1.13413,1.58053
0.172,0,0.697422,1.18,1.13301,1.13301,1.65505
0.173,0,0.660876,1.1825,1.13188,1.13188,1.72958
0.174,0,0.624331,1.185,1.13076,1.13076,1.8041
0.175,0,0.587785,1.1875,1.12963,1.12963,1.87863
0.176,0,0.543853,1.19,1.11408,1.11408,1.93088
0.177,0,0.499921,1.1925,1.09852,1.09852,1.98313
0.178,0,0.455989,1.195,1.08297,1.08297,2.03538
0.179,0,0.412057,1.1975,1.06742,1.06742,2.08763
0.18,0,0.368125,1.2,1.05186,1.05186,2.13988
0.181,0,0.319566,1.2025,1.02256,1.02256,2.166
0.182,0,0.271008,1.205,0.993258,0.993258,2.19213
0.183,0,0.22245,1.2075,0.963956,0.963956,2.21826
0.184,0,0.173891,1.21,0.934655,0.934655,2.24438
0.185,0,0.125333,1.2125,0.905353,0.905353,2.27051
0.186,0,0.0751999,1.215,0.863881,0.863881,2.26826
0.187,0,0.0250666,1.2175,0.82241,0.82241,2.26601
0.188,0,-0.0250666,1.22,0.780938,0.780938,2.26376
0.189,0,-0.0751999,1.2225,0.739467,0.739467,2.26151
0.19,0,-0.125333,1.225,0.697995,0.697995,2.25926
