"time","cs_adder1fmu1.y","cs_source1fmu1.y","cs_source1fmu2.y"
0.184,1.9638,1.04876,0.96379
0.185,1.96802,1.05389,0.961275
0.186,1.9717,1.05896,0.95828
0.187,1.97538,1.06404,0.955285
0.188,1.97905,1.06911,0.95229
0.189,1.98273,1.07419,0.949295
0.19,1.98641,1.07926,0.9463
0.191,1.98955,1.08429,0.942832
0.192,1.9927,1.08932,0.939364
0.193,1.99584,1.09434,0.935896
0.194,1.99898,1.09937,0.932428
0.195,2.00212,1.1044,0.92896
0.196,2.00473,1.10938,0.925027
0.197,2.00734,1.11435,0.921095
0.198,2.00994,1.11933,0.917162
0.199,2.01255,1.12431,0.91323
0.2,2.01516,1.12928,0.909297
0.201,2.01724,1.13421,0.90491
0.202,2.01932,1.13914,0.900523
0.203,2.0214,1.14406,0.896136
0.204,2.02348,1.14899,0.891749
0.205,2.02556,1.15392,0.887362
0.206,2.02712,1.15879,0.882532
0.207,2.02868,1.16367,0.877701
0.208,2.03024,1.16854,0.872871
0.209,2.0318,1.17342,0.86804
0.21,2.03336,1.17829,0.863209
0.211,2.0344,1.18311,0.857947
0.212,2.03545,1.18793,0.852685
0.213,2.03649,1.19275,0.847423
0.214,2.03754,1.19758,0.842161
0.215,2.03858,1.2024,0.836899
0.216,2.03912,1.20716,0.831218
0.217,2.03966,1.21193,0.825538
0.218,2.0402,1.2167,0.819857
0.219,2.04074,1.22147,0.814177
0.22,2.04128,1.22623,0.808496
0.221,2.04132,1.23095,0.802412
0.222,2.04137,1.23566,0.796327
0.223,2.04141,1.24037,0.790242
0.224,2.04145,1.24508,0.784158
0.225,2.0415,1.24979,0.778073
0.226,2.04106,1.25445,0.7716
0.227,2.04062,1.25911,0.765126
0.228,2.04018,1.26376,0.758652
0.229,2.03974,1.26842,0.752179
0.23,2.0393,1.27307,0.745705
0.231,2.03838,1.27767,0.738859
0.232,2.03747,1.28227,0.732012
0.233,2.03656,1.28687,0.725166
0.234,2.03564,1.29147,0.71832
0.235,2.03473,1.29607,0.711473
0.236,2.03336,1.30061,0.704271
0.237,2.03199,1.30515,0.697069
0.238,2.03061,1.30969,0.689867
0.239,2.02924,1.31423,0.682665
0.24,2.02787,1.31877,0.675463
0.241,2.02605,1.32325,0.667923
0.242,2.02423,1.32773,0.660384
0.243,2.02241,1.33221,0.652844
0.244,2.0206,1.33669,0.645304
0.245,2.01878,1.34117,0.637765
0.246,2.01653,1.34559,0.629906
0.247,2.01428,1.35002,0.622048
0.248,2.01204,1.35444,0.614189
0.249,2.00979,1.35886,0.606331
0.25,2.00754,1.36328,0.598472
0.251,2.00488,1.36764,0.590314
0.252,2.00222,1.372,0.582157
0.253,1.99956,1.37636,0.573999
0.254,1.99689,1.38071,0.565841
